"Source:","C:\Users\72417946\Documents\GitHub\tillitis-key1\hw\boards\tk1\tk1.kicad_sch"
"Date:","2023-03-17 11:49:31"
"Tool:","Eeschema (6.0.4)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","47"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, C3, C4, C5, C6, C25, ","7","10uF","C","mta1:CAPC1608X09L","Unpolarized capacitor",""
"C7, C13, C16, C17, C18, C19, C20, C21, C22, C23, C26, ","11","0.10uF","C","mta1:CAPC1005X06L","Unpolarized capacitor",""
"C27, ","1","1pF","C","mta1:CAPC1005X06L","Unpolarized capacitor",""
"D1, ","1","0402 indicator LED, blue","LED","LED_SMD:LED_0402_1005Metric","Light emitting diode",""
"D3, ","1","LED_ARGB","FC-B1010RGBT-HG","mta1:0402rgb-1010","",""
"FB3, ","1","BLM18KG300TN1D","Ferrite_Bead-Device","mta1:Ferritbead_0603_1608Metric","",""
"P1, ","1","USB_C_Plug","USB_C_Plug","mta1:U261-241N-4BS60","USB Type-C Plug connector",""
"R1, R2, R19, R20, R22, R23, R24, R25, R26, ","9","10k","R","mta1:ERJ2G(0402)_L","Resistor",""
"R3, R16, R17, R18, ","4","1k","R","mta1:ERJ2G(0402)_L","Resistor",""
"R29, ","1","5.1k","R","mta1:ERJ2G(0402)_L","Resistor",""
"R30, ","1","2k","R","mta1:ERJ2G(0402)_L","Resistor",""
"U1, ","1","MCP1824T-2502EOT","MCP1824T-2502EOT","Package_TO_SOT_SMD:SOT-23-5","IC REG LINEAR 2.5V 300MA SOT23-5",""
"U2, ","1","MIC5258-1.2YM5","MIC5258-1.2YM5-TR","Package_TO_SOT_SMD:SOT-23-5","IC REG LINEAR 1.2V 150MA SOT23-5",""
"U3, ","1","CH552E","CH552E","Package_SO:MSOP-10_3x3mm_P0.5mm","8-bit enhanced USB microcontroller CH552",""
"U5, ","1","USBLC6-2SC6","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","Very low capacitance ESD protection diode, 2 data-line, SOT-23-6",""
"U6, ","1","ICE40UP5K-SG48ITR","ICE40UP5K-SG48ITR","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","iCE40 UltraPlus FPGA, 5280 LUTs, 1.2V, 48-pin QFN",""
"U8, ","1","W25Q80DVUXIE","W25Q80DVUXIE","mta1:W25Q80DVUXIE","IC FLASH 8MBIT SPI 104MHZ 8USON",""
"U9, ","1","NCP752BSN33T1G","NCP752BSN33T1G","mta1:NCP752BSN33T1G","IC REG LINEAR 3.3V 200MA 5TSOP",""
"U10, ","1","PT2043AT6","PT2043AT6","Package_TO_SOT_SMD:SOT-23-6","SOT-23-6 Touch Sensors ROHS",""
"U11, ","1","~","1674954-1","1674954-1","AMP - TE CONNECTIVITY - 1674954-1 - SPRING FINGER, MOBILE PHONES",""
