"Source:","C:\Users\matt\Other-Repos\tillitis-key1\hw\boards\tp1\tp1.kicad_sch"
"Date:","11/16/2022 5:57:02 PM"
"Tool:","Eeschema (6.0.4)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_extended_value.py"
"Component Count:","25"
"Ref","Qnty","Value","Footprint","Description","Manufacturer","Manufacturer Part Number","Supplier","Supplier Part Number"
"F1","1","50mA","Fuse:Fuse_1206_3216Metric","Resettable fuse, polymeric positive temperature coefficient, small symbol","Littelfuse","1206L005/60WR","Digikey","F8129TR-ND"
"FID1,FID2,FID3","3","Fiducial","Fiducial:Fiducial_1mm_Mask2mm","Fiducial Marker","","","",""
"FOOT1,FOOT2,FOOT3,FOOT4","4","Rubber Foot,8mm diameter x 2.8mm height, self-adhesive foot","","","3M","SJ5076","RS","120-6041"
"J3","1","BC-1-208","mta1:BC-1-208","","Disong","BC-1-208","",""
"J4","1","BC-1-701","mta1:BC-1-701","","Disong","BC-1-701","",""
"Q1","1","AO3400A","Package_TO_SOT_SMD:SOT-23","30V Vds, 5.7A Id, N-Channel MOSFET, SOT-23","Alpha & Omega","AO3400A","Digikey","785-1000-2-ND"
"Q2","1","AO3401A","Package_TO_SOT_SMD:SOT-23","-4.0A Id, -30V Vds, P-Channel MOSFET, SOT-23","Alpha & Omega","AO3401A","Digikey","785-1001-2-ND"
"R7,R8","2","10K,1/16W,5%","mta1:ERJ2G(0402)_L","Resistor","Any/not critical","","",""
"R11,R12,R13,R14,R15,R16,R17","7","100R,1/16W,5%","mta1:ERJ2G(0402)_L","Resistor","Any/not critical","","",""
"SCREW1,SCREW2,SCREW3","3","M3 Buttonhead Screw,M3x0.5mm buttonhead screw, stainless steel, 5mm length","","","","","McMaster-Carr","94500A263"
"U2","1","Pico","MCU_RaspberryPi_and_Boards:RPi_Pico_SMD_reflow","","Raspberry Pi","SC0915","Digikey","2648-SC0915TR-ND"
